Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA,JP,EU,Other,Global
1980.0,10.590000000000003,0.6700000000000002,0.0,0.11999999999999998,11.379999999999999,2600,2600,2600,2600,2600
1981.0,33.4,1.9600000000000006,0.0,0.3200000000000001,35.77000000000001,2600,2600,2600,2600,2600
1982.0,26.920000000000005,1.6500000000000008,0.0,0.31000000000000016,28.859999999999996,2600,2600,2600,2600,2600
1983.0,7.76,0.8000000000000003,8.1,0.13999999999999999,16.790000000000003,2600,NES,NES,NES,NES
1984.0,33.28,2.0999999999999996,14.269999999999998,0.7000000000000002,50.360000000000014,NES,NES,NES,NES,NES
1985.0,33.73,4.74,14.56,0.9200000000000002,53.940000000000005,NES,NES,NES,NES,NES
1986.0,12.5,2.8400000000000007,19.81,1.9300000000000002,37.07,NES,NES,NES,NES,NES
1987.0,8.460000000000003,1.4100000000000001,11.63,0.20000000000000004,21.739999999999995,NES,NES,NES,NES,NES
1988.0,23.869999999999997,6.590000000000001,15.759999999999998,0.9900000000000001,47.22,NES,NES,NES,NES,NES
1989.0,45.15,8.44,18.360000000000003,1.5000000000000002,73.45,GB,GB,GB,GB,GB
1990.0,25.46,7.629999999999998,14.880000000000003,1.4000000000000004,49.38999999999999,SNES,NES,SNES,SNES,SNES
1991.0,12.76,3.9499999999999993,14.780000000000001,0.7400000000000001,32.230000000000004,SNES,SNES,SNES,SNES,SNES
1992.0,33.87,11.710000000000003,28.91,1.6500000000000004,76.15999999999998,GB,SNES,GB,GB,SNES
1993.0,15.120000000000001,4.6499999999999995,25.33000000000001,0.8900000000000001,45.98,SNES,SNES,SNES,SNES,SNES
1994.0,28.150000000000002,14.879999999999997,33.990000000000016,2.199999999999999,79.17000000000003,SNES,SNES,PC,GB,SNES
1995.0,24.82000000000001,14.89999999999998,45.750000000000014,2.6399999999999926,88.10999999999991,PS,SNES,PS,PS,PS
1996.0,86.75999999999999,47.259999999999984,57.43999999999997,7.689999999999979,199.14999999999995,PS,PS,PS,PS,PS
1997.0,94.75000000000007,48.319999999999986,48.86999999999997,9.129999999999978,200.98000000000013,PS,PS,PS,PS,PS
1998.0,128.35999999999999,66.90000000000012,50.04,11.02999999999994,256.46999999999963,PS,PS,PS,PS,PS
1999.0,126.06000000000004,62.67000000000003,52.34,10.049999999999951,251.27000000000018,PS,PS,PS,PS,PS
2000.0,94.49000000000005,52.75000000000003,42.770000000000046,11.619999999999937,201.5600000000002,PS,PS,PS,PS,PS
2001.0,173.9800000000004,94.88999999999986,39.85999999999999,22.760000000000186,331.4699999999991,PS2,PS2,PS2,PS2,PS2
2002.0,216.1900000000001,109.74000000000032,41.76000000000002,27.280000000000253,395.5199999999983,PS2,PS2,PS2,PS2,PS2
2003.0,193.59000000000066,103.8100000000003,34.20000000000003,26.010000000000247,357.8499999999989,PS2,PS2,PS2,PS2,PS2
2004.0,222.5900000000004,107.32000000000035,41.64999999999999,47.28999999999983,419.30999999999864,PS2,PS2,PS2,PS2,PS2
2005.0,242.6100000000005,121.94000000000041,54.28000000000001,40.57999999999983,459.9399999999976,PS2,DS,DS,PS2,PS2
2006.0,263.11999999999887,129.23999999999984,73.72999999999998,54.429999999999836,521.0399999999917,Wii,DS,Wii,PS2,Wii
2007.0,312.04999999999836,160.49999999999972,60.290000000000106,77.60000000000102,611.1299999999934,Wii,DS,Wii,PS2,Wii
2008.0,351.43999999999915,184.3999999999998,60.26000000000002,82.39000000000141,678.8999999999952,Wii,DS,Wii,PS2,Wii
2009.0,338.8499999999989,191.5899999999998,61.88999999999998,74.77000000000145,667.2999999999947,Wii,DS,Wii,PS3,Wii
2010.0,304.24,176.73000000000016,59.490000000000215,59.89999999999995,600.4499999999948,X360,DS,PS3,PS3,X360
2011.0,241.0600000000009,167.44000000000023,53.040000000000084,54.38999999999983,515.9899999999969,X360,PS3,PS3,PS3,PS3
2012.0,154.96000000000004,118.78000000000002,51.74000000000012,37.82,363.5399999999984,X360,3DS,PS3,PS3,PS3
2013.0,154.7700000000001,125.80000000000004,47.59000000000005,39.82000000000001,368.10999999999865,X360,3DS,PS3,PS3,PS3
2014.0,131.9700000000002,125.6500000000001,39.460000000000086,40.02,337.0499999999985,PS4,3DS,PS4,PS4,PS4
2015.0,102.81999999999992,97.71000000000002,33.72000000000013,30.010000000000133,264.43999999999795,PS4,3DS,PS4,PS4,PS4
2016.0,22.66000000000006,26.760000000000066,13.699999999999969,7.749999999999982,70.93000000000013,PS4,3DS,PS4,PS4,PS4
2017.0,0.0,0.0,0.05,0.0,0.05,PS4,PS4,PS4,PS4,PS4
2020.0,0.27,0.0,0.0,0.02,0.29,DS,DS,DS,DS,DS
